,2hr,2hr,2hr,3hr,3hr,3hr,4hr,4hr,4hr,6hr,6hr,6hr,10hr,10hr,10hr,24hr,24hr,24hr
Unpaired,55.575,12.09272,4,50.5675,12.34932,4,41.0425,10.40817,4,38.655,13.65716,4,45.12,13.99906,4,57.1025,7.977349,4
Pair formed,44.425,12.09272,4,19.5575,4.155014,4,13.21,8.809523,4,7.84,5.254769,4,1.5725,1.02303,4,1.265,0.6637456,4
Crescent,0,0,4,29.5775,11.78303,4,30.39,4.016188,4,14.12,8.105813,4,5.875,5.546677,4,2,1.414214,4
Meiosis,0,0,4,0.2725,0.2725,4,15.3625,9.807895,4,8.85,5.146737,4,9.8075,6.302636,4,0.775,0.775,4
Nuclear exchange,0,0,4,0,0,4,0,0,4,30.56,17.6993,4,12.5225,6.577551,4,0.375,0.375,4
Post-zygotic mitosis,0,0,4,0,0,4,0,0,4,0,0,4,24.68,13.04707,4,19.25,8.778525,4
Exconjugant,0,0,4,0,0,4,0,0,4,0,0,4,0.4,0.4,4,18.655,9.538711,4
